"Date","Open","High","Low","Close","Volume"
"2021-10-29","119.25","119.5","118","118","1443324"
"2021-10-28","119","119.5","118.5","119.5","1477648"
"2021-10-27","119","119.5","118.5","118.5","1513521"
"2021-10-26","119","119.5","118","118","2345297"
"2021-10-25","119.25","119.5","118.5","119","5656303"
"2021-10-22","118.75","119.5","118.705","119.5","6417251"
"2021-10-21","118","119","117.5","119","5342525"
"2021-10-20","116","118","115","117.5","10499897"
"2021-10-19","116.5","116.9","115.5","115.5","1790323"
"2021-10-18","117.25","117.5","116","116.5","3828464"
"2021-10-15","117","118","116.5","117","2813379"
"2021-10-14","117","117.5","116.5","117","809818"
"2021-10-13","116.25","117.75","116","117","914570"
"2021-10-12","116","116.5","115.75","116.5","977448"
"2021-10-11","116","116.5","115.5","116.5","341986"
"2021-10-08","115.5","116.5","115.5","116","761500"
"2021-10-07","115.75","117.212","115","116","1090853"
"2021-10-06","116.75","117","116","116.5","1819053"
"2021-10-05","116.25","117","116.38","117","1151689"
"2021-10-04","116.5","117","116","116.5","1590267"
"2021-10-01","116.75","117","116","116.5","895935"
"2021-09-30","117.25","120.5","116","116.5","1424954"
"2021-09-29","120.25","121.5","120","120","2073033"
"2021-09-28","120.25","121","119.5","120.25","3329471"
"2021-09-27","119.75","120.5","119.5","120.5","3250573"
"2021-09-24","119.75","120.5","119.5","119.75","1102923"
"2021-09-23","119.25","120","119.09","119.75","1866511"
"2021-09-22","119.5","120","118.5","118.5","1025621"
"2021-09-21","120","120","117","117","868002"
"2021-09-20","121","121.24","119.5","120","1726487"
"2021-09-17","119.75","122.5","119.5","121","1092239"
"2021-09-16","119.5","120","119","120","758440"
"2021-09-15","119.5","120","119","119.5","513227"
"2021-09-14","118.75","119.5","118.5","119","469352"
"2021-09-13","119","119","118","118.75","44504"
"2021-09-10","117.75","118.5","117.5","118","6712790"
"2021-09-09","117.75","118","117","117.5","950914"
"2021-09-08","117.75","117.75","117.5","117.5","626242"
"2021-09-07","118.25","118.5","117.5","117.75","938789"
"2021-09-06","118.5","118.75","118","118","2856330"
"2021-09-03","119.5","119.69","118.18","118.5","1063703"
"2021-09-02","120.25","120.5","119.24","119.5","728326"
"2021-09-01","120.75","121","119.5","119.5","891685"
"2021-08-31","121.25","121.5","120.5","120.5","694612"
"2021-08-30","121","121","121","121","0"
"2021-08-27","121.25","121.5","121","121","651794"
"2021-08-26","121.5","121.9","121","121","1907167"
"2021-08-25","122.25","122.5","121","121.5","1607903"
"2021-08-24","121.75","122.5","121.5","122","2861932"
"2021-08-23","121.75","122.25","121.5","122","4853094"
"2021-08-20","122.25","122.5","121.5","122","528779"
"2021-08-19","122.5","122.5","122","122.25","585869"
"2021-08-18","122.5","122.65","121","122","776925"
"2021-08-17","122.5","123","122.5","122.5","621402"
"2021-08-16","122.5","122.9","122","122.5","856658"
"2021-08-13","122.5","122.9","122","122","482162"
"2021-08-12","122.25","123.426","122.5","122.5","679383"
"2021-08-11","121.5","122.5","121.5","122.25","1015376"
"2021-08-10","121.5","125","121","125","492757"
"2021-08-09","121.25","122","121","121","504095"
"2021-08-06","120.75","121.5","120.5","121.5","393430"
"2021-08-05","120.5","121","120.75","120.75","365970"
"2021-08-04","120.5","121","120.5","121","2692205"
"2021-08-03","120.5","121","120.5","121","884403"
"2021-08-02","120.5","121","120","120","332894"
"2021-07-30","120.25","120.5","120","120","568963"
"2021-07-29","120.25","120.5","120.374","120.5","1294721"
"2021-07-28","120","120.75","119.5","120.25","2986101"
"2021-07-27","119.25","121","119","120.5","3949274"
"2021-07-26","117.75","119.45","117.5","119","587119"
"2021-07-23","117.25","118","117","117.75","931633"
"2021-07-22","117.25","118","117","117.25","696756"
"2021-07-21","117","117.5","117","117.25","350196"
"2021-07-20","117","117.5","116.5","117.5","2280935"
"2021-07-19","117","117.85","116.5","116.5","862686"
"2021-07-16","117","117.5","116.5","116.5","1539496"
"2021-07-15","117.5","119","116.5","117","417502"
"2021-07-14","118.5","119","118.2","118.5","768309"
"2021-07-13","118.5","119","118.25","118.5","925759"
"2021-07-12","118.25","119","118","118.5","2378266"
"2021-07-09","118.25","118.5","118.25","118.5","603102"
"2021-07-08","118.25","118.5","118","118","1014341"
"2021-07-07","118.25","118.5","117.9","118.25","403422"
"2021-07-06","118.25","118.5","118","118.5","977452"
"2021-07-05","118","118.5","117.25","118.5","2113000"
"2021-07-02","118","118","117.5","118","748881"
"2021-07-01","117.5","118.5","117","118","950791"
"2021-06-30","117.5","118","117","117.5","439610"
"2021-06-29","117.5","118","117","117.5","1335855"
"2021-06-28","118","118","117","117.5","540148"
"2021-06-25","118.25","118.5","117.5","118","533845"
"2021-06-24","118.5","118.5","118","118.25","629761"
"2021-06-23","118.5","119","118","118.5","1938589"
"2021-06-22","118.5","119","118","118.5","994870"
"2021-06-21","118.5","120","118","118","879608"
"2021-06-18","118.5","123.5","118.251","123.5","1145152"
"2021-06-17","118.5","119","118","118","1020439"
"2021-06-16","118.5","119","118","118.5","3270366"
"2021-06-15","117.25","119","117","118.5","1775849"
"2021-06-14","117.25","118","117","118","3758738"
"2021-06-11","116.5","117.5","116.5","117.25","5124718"
"2021-06-10","116.75","117","116.5","117","1316156"
"2021-06-09","116.5","117","116.25","116.75","1095866"
"2021-06-08","116.5","117","116.125","116.5","1215185"
"2021-06-07","116.25","117","116","117","817446"
"2021-06-04","115.75","116.5","115.5","116","632736"
"2021-06-03","115.5","116","115.5","115.75","1254194"
"2021-06-02","114.75","116","114.5","115.5","2260011"
"2021-06-01","114.75","115","114.5","114.75","1001924"
"2021-05-31","114.5","114.5","114.5","114.5","0"
"2021-05-28","114.25","115","114","114.5","2081893"
"2021-05-27","114.25","114.5","114.35","114.5","865353"
"2021-05-26","114.25","114.5","114","114.5","1350866"
"2021-05-25","114.25","114.5","114","114.5","1523262"
"2021-05-24","114.25","114.5","114.0258","114.25","748804"
"2021-05-21","114.25","115","114.3","114.5","2352730"
"2021-05-20","114.25","114.5","114","114.5","1184581"
"2021-05-19","114.25","114.5","114","114","643830"
"2021-05-18","114.25","114.5","114","114.5","1648193"
"2021-05-17","114.25","114.5","114","114.25","1017755"
"2021-05-14","114.25","114.5","114.299","114.5","706463"
"2021-05-13","114.25","115","114","114","2749300"
"2021-05-12","113.75","114.5","113.5","114","1689337"
"2021-05-11","113.5","114","113.5","113.75","1424482"
"2021-05-10","113.75","114","113.5","114","1794153"
"2021-05-07","113.75","114.1","113.505","113.75","1290260"
"2021-05-06","113.75","114","113.5","114","3748233"
"2021-05-05","113.5","114","113.5","113.75","980556"
"2021-05-04","113","114","112.5","114","1729507"
"2021-05-03","113.5","113.5","113.5","113.5","0"
"2021-04-30","113","114.965","112.5","113.5","1057479"
"2021-04-29","113","113.5","112.4438","112.5","3020944"
"2021-04-28","113.5","113.5","112.5","112.5","2057349"
"2021-04-27","114","114","113","113","1795920"
"2021-04-26","114.25","114.5","113.5","114","1479371"
"2021-04-23","113.75","114.5","113.5","114","3041736"
"2021-04-22","112.5","114","112.5","113.75","890093"
"2021-04-21","112","113","112.18","112.5","1732326"
"2021-04-20","111.5","112.5","111","112","1666417"
"2021-04-19","111.5","112","111","112","1942344"
"2021-04-16","111.75","113.365","111.02","111.5","1252424"
"2021-04-15","112","112","111.25","111.5","2457124"
"2021-04-14","112.25","114.5","112.25","113","2130268"
"2021-04-13","112.25","112.5","112","112.25","1299938"
"2021-04-12","112","112.5","111.81","112.5","2209762"
"2021-04-09","110.75","112.5","110.5","112","4465869"
"2021-04-08","110.25","111","110.5","110.75","3123689"
"2021-04-07","109.25","110.5","109","110.5","4115731"
"2021-04-06","109","110.2527","108.5","109.5","3398601"
"2021-04-05","109","109","109","109","0"
"2021-04-02","109","109","109","109","0"
"2021-04-01","108.75","109.5","108.5","109","2439532"
"2021-03-31","108.5","109","108","108.5","2979363"
"2021-03-30","108.25","109","108.2","108.5","3143560"
"2021-03-29","108.25","108.5","107.7","108.5","3177573"
"2021-03-26","107.75","108.5","107.7","108","5078358"
"2021-03-25","107.25","108","107.25","107.5","2192493"
"2021-03-24","107.25","107.5","107","107","3046627"
"2021-03-23","106.75","107.35","106.5","107","2033328"
"2021-03-22","106.75","107","106.5","106.5","3603448"
"2021-03-19","107.25","107.5","106.5","106.5","10409046"
"2021-03-18","107.75","108","107","107","2551662"
"2021-03-17","108","108.5","107.5","107.5","1624685"
"2021-03-16","108.25","108.5","107.5","108","2361215"
"2021-03-15","108.25","108.6952","108","108.25","4186317"
"2021-03-12","108.25","108.5","108","108.5","1432520"
"2021-03-11","108.25","110","108","108.5","3719671"
"2021-03-10","107.5","108.5","107.26","108","3321683"
"2021-03-09","107.75","108","107.26","108","1362161"
"2021-03-08","107.75","108","107.5","107.5","1727330"
"2021-03-05","107.5","108","107.125","107.5","4590859"
